car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.301063272,103.854118,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,1.2,0.6
ACM,BLK 98A ALJUNIED CRESCENT,1.32100429,103.8850609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N,0.6,0.6
AH1,BLK 101 JALAN DUSUN,1.328283495,103.8446199,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
AK19,BLOCK 253 ANG MO KIO STREET 21,1.369091216,103.8349849,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N,0.6,0.6
AK31,BLK 302/348 ANG MO KIO ST 31,1.366120424,103.8466356,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N,0.6,0.6
AK52,BLOCK 513 ANG MO KIO ST 53,1.372438633,103.8502957,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
AK6,BLOCK 728 ANG MO KIO AVE 6,1.374835929,103.8448538,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.376678209,103.8638451,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N,0.6,0.6
AK9,ANG MO KIO AVENUE 9,1.383599058,103.8483681,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N,0.6,0.6
AM14,BLK 227 ANG MO KIO ST 23,1.368741095,103.8403011,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,0.6,0.6
AM16,BLK 256A ANG MO KIO STREET 21,1.370349801,103.8357183,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
AM18,BLK 308C ANG MO KIO AVE 1,1.365540013,103.8446194,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N,0.6,0.6
AM19,BLK 260 ANG MO KIO ST 21,1.368886198,103.834531,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,0.6,0.6
AM20,BLK 309B ANG MO KIO ST 31,1.364697733,103.8460886,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AM22,BLK 316B ANG MO KIO STREET 31,1.364588291,103.847653,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AM32,BLK 255A ANG MO KIO ST 21,1.370532524,103.8343768,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
AM43,BLK 455 ANG MO KIO ST 44,1.368610719,103.8573035,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
AM46,BLK 588 ANG MO KIO STREET 52,1.372178323,103.8533964,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N,0.6,0.6
AM51,BLK 700 ANG MO KIO AVE 6,1.369915002,103.8466985,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AM64,BLK 590 ANG MO KIO ST 51,1.37145702,103.8530982,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AM79,BLK 596 ANG MO KIO STREEET 52,1.372328229,103.8513279,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AM80,BLK 130A ANG MO KIO ST 12,1.37064699,103.8418615,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
AM81,BLK 132A ANG MO KIO ST 12,1.371639242,103.8419478,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
AM96,BLK 352A ANG MO KIO STREET 32,1.364074149,103.8509404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AR1L,3 AND 5 DOVER ROAD,1.303876719,103.7826318,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N,0.6,0.6
AR1M,BLK 2A DOVER ROAD,1.302848684,103.7836668,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
AR2L,BLK 26 AND 27 DOVER CRESCENT,1.305913234,103.7811547,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N,0.6,0.6
AR2M,BLK 28 DOVER CRESCENT,1.304738893,103.7816745,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,0.6,0.6
AR5M,BLK 19A DOVER CRESCENT,1.307343527,103.7844633,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
AR7L,12 TO 14 DOVER CLOSE EAST,1.305807721,103.7855911,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N,0.6,0.6
AR7M,BLK 12A DOVER CLOSE EAST,1.304771377,103.785192,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
AR9,BLK 20/22/23 DOVER CRESCENT,1.307284363,103.7834396,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.285582555,103.8032153,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,0.6,0.6
